Address,Latitude,Longitude
229 ANG MO KIO AVE 3,1.3690836,103.8382463
173 ANG MO KIO AVE 4,1.3753976,103.8360724
179 ANG MO KIO AVE 5,1.376861,103.8364347
179 ANG MO KIO AVE 5,1.376861,103.8364347
700B ANG MO KIO AVE 6,1.3694784,103.8458551
507 ANG MO KIO AVE 8,1.3744348,103.8502032
625 ANG MO KIO AVE 9,1.3822555,103.8412354
622 ANG MO KIO AVE 9,1.3821158,103.8396628
353 ANG MO KIO ST 32,1.3640602,103.8516073
352 ANG MO KIO ST 32,1.3646305,103.8506424
588B ANG MO KIO ST 52,1.3720186,103.8530341
588C ANG MO KIO ST 52,1.3718689,103.8535776
439 ANG MO KIO AVE 10,1.3663578,103.8532832
401 ANG MO KIO AVE 10,1.3610716,103.8553668
439 ANG MO KIO AVE 10,1.3663578,103.8532832
458 ANG MO KIO AVE 10,1.3666504,103.8595793
101 ANG MO KIO AVE 3,1.3702489,103.8394238
423 ANG MO KIO AVE 3,1.3687122,103.851562
501 ANG MO KIO AVE 5,1.3759816,103.8488444
520 ANG MO KIO AVE 5,1.373385,103.851224
710 ANG MO KIO AVE 8,1.3710763,103.8482103
596A ANG MO KIO ST 52,1.3725174,103.8509332
588B ANG MO KIO ST 52,1.3720186,103.8530341
588A ANG MO KIO ST 52,1.3720758,103.8526491
576 ANG MO KIO AVE 10,1.3713958,103.8548659
623 ANG MO KIO AVE 9,1.3826974,103.8408731
550 BEDOK NTH AVE 1,1.3325963,103.9264511
424 BEDOK NTH AVE 1,1.3284794,103.9275409
521 BEDOK NTH AVE 1,1.3302395,103.9268158
418 BEDOK NTH AVE 2,1.3283185,103.9300788
418 BEDOK NTH AVE 2,1.3283185,103.9300788
102 BEDOK NTH AVE 4,1.3338732,103.9374662
105 BEDOK NTH AVE 4,1.3336952,103.936605
74 BEDOK NTH RD,1.3274812,103.9420891
77 BEDOK NTH RD,1.3287254,103.9419985
125 BEDOK NTH RD,1.3288879,103.9391884
75 BEDOK NTH RD,1.3281133,103.9421106
426 BEDOK NTH RD,1.329789,103.9288099
74 BEDOK NTH RD,1.3274812,103.9420891
419 BEDOK NTH ST 1,1.326903,103.9281301
502 BEDOK NTH ST 3,1.331641,103.9312118
525 BEDOK NTH ST 3,1.3347268,103.9290365
540 BEDOK NTH ST 3,1.3311815,103.9220574
509 BEDOK NTH ST 3,1.3339204,103.9310499
545 BEDOK NTH ST 3,1.3301452,103.924142
532 BEDOK NTH ST 3,1.3340175,103.925139
525 BEDOK NTH ST 3,1.3347268,103.9290365
536 BEDOK NTH ST 3,1.3334447,103.9229638
525 BEDOK NTH ST 3,1.3347268,103.9290365
542 BEDOK NTH ST 3,1.3307383,103.9227825
105 BEDOK RESERVOIR RD,1.3291336,103.909188
628 BEDOK RESERVOIR RD,1.3349542,103.9149881
615 BEDOK RESERVOIR RD,1.3322067,103.9155772
704 BEDOK RESERVOIR RD,1.3365333,103.9203354
616 BEDOK RESERVOIR RD,1.3318081,103.9148975
713 BEDOK RESERVOIR RD,1.336814,103.92242
703 BEDOK RESERVOIR RD,1.3371946,103.9198822
704 BEDOK RESERVOIR RD,1.3365333,103.9203354
2 BEDOK STH AVE 1,1.3213165,103.9332953
1 BEDOK STH AVE 1,1.3177824,103.932945
40 CHAI CHEE AVE,1.3261076,103.9264986
32 CHAI CHEE AVE,1.3237706,103.9249492
32 CHAI CHEE AVE,1.3237706,103.9249492
42 CHAI CHEE ST,1.3279408,103.9257735
42 CHAI CHEE ST,1.3279408,103.9257735
41 CHAI CHEE ST,1.3274212,103.9258996
29 NEW UPP CHANGI RD,1.3240053,103.9363732
57 NEW UPP CHANGI RD,1.3241216,103.9416303
507 BEDOK NTH AVE 3,1.3329865,103.9326168
93 BEDOK NTH AVE 4,1.3329353,103.9414999
104 BEDOK NTH AVE 4,1.3332562,103.936605
428 BEDOK NTH RD,1.329688,103.928049
80 BEDOK NTH RD,1.3285133,103.9407294
182 BEDOK NTH RD,1.327039,103.941541
421 BEDOK NTH RD,1.328309,103.92881
119 BEDOK NTH RD,1.3302075,103.9387352
78 BEDOK NTH RD,1.3272685,103.9409107
547 BEDOK NTH ST 3,1.3303879,103.925242
532 BEDOK NTH ST 3,1.3340175,103.925139
523 BEDOK NTH ST 3,1.334352,103.9305773
748B BEDOK RESERVOIR CRES,1.336289,103.9211329
747C BEDOK RESERVOIR CRES,1.3366197,103.9206533
748B BEDOK RESERVOIR CRES,1.336289,103.9211329
748B BEDOK RESERVOIR CRES,1.336289,103.9211329
702 BEDOK RESERVOIR RD,1.3373472,103.9187946
627 BEDOK RESERVOIR RD,1.3340729,103.9155319
622 BEDOK RESERVOIR RD,1.3340662,103.9167101
718 BEDOK RESERVOIR RD,1.337161,103.9256829
126 BEDOK RESERVOIR RD,1.3327839,103.9108347
710 BEDOK RESERVOIR RD,1.3356353,103.9237795
143 BEDOK RESERVOIR RD,1.3350405,103.9127224
110 BEDOK RESERVOIR RD,1.3301512,103.9103661
110 BEDOK RESERVOIR RD,1.3301512,103.9103661
628 BEDOK RESERVOIR RD,1.3349542,103.9149881
761 BEDOK RESERVOIR VIEW,1.3362352,103.9339311
767 BEDOK RESERVOIR VIEW,1.3359559,103.9367182
771 BEDOK RESERVOIR VIEW,1.3360242,103.9387805
35 BEDOK STH AVE 2,1.3223734,103.9398229
6 BEDOK STH AVE 2,1.3221825,103.9348375
5 BEDOK STH AVE 2,1.3220634,103.9342678
166 BEDOK STH AVE 3,1.32001,103.9451699
43 BEDOK STH RD,1.3215614,103.9416343
61 CHAI CHEE RD,1.3251171,103.9206073
10 CHAI CHEE RD,1.3270163,103.9244409
655 JLN TENAGA,1.3333365,103.906809
659 JLN TENAGA,1.3341337,103.9062028
415 BEDOK NTH AVE 2,1.3297817,103.9300788
407 BEDOK NTH AVE 3,1.3284076,103.9336591
405 BEDOK NTH AVE 3,1.3286977,103.9341123
99 BEDOK NTH AVE 4,1.3338248,103.9395057
94D BEDOK NTH AVE 4,1.3337049,103.9412733
99 BEDOK NTH AVE 4,1.3338248,103.9395057
111 BEDOK NTH RD,1.3314701,103.935472
529 BEDOK NTH ST 3,1.3342292,103.9264986
601 BEDOK RESERVOIR RD,1.3299265,103.9112724
611 BEDOK RESERVOIR RD,1.331039,103.9150335
147 BEDOK RESERVOIR RD,1.3349004,103.9116349
112 BEDOK RESERVOIR RD,1.3297122,103.9103661
611 BEDOK RESERVOIR RD,1.331039,103.9150335
762 BEDOK RESERVOIR VIEW,1.3364516,103.9344749
32 BEDOK STH AVE 2,1.3226774,103.9378287
14 BEDOK STH AVE 2,1.3213731,103.9361959
32 BEDOK STH AVE 2,1.3226774,103.9378287
1 CHAI CHEE RD,1.3280646,103.9225418
805 CHAI CHEE RD,1.3245266,103.9215136
670 JLN DAMAI,1.3328707,103.9082817
60 NEW UPP CHANGI RD,1.3225114,103.9412733
94C BEDOK NTH AVE 4,1.3334775,103.942633
634 BEDOK RESERVOIR RD,1.3302014,103.9048153
643 BEDOK RESERVOIR RD,1.3310738,103.9058122
115 BEDOK RESERVOIR RD,1.3306733,103.9086442
115 BEDOK RESERVOIR RD,1.3306733,103.9086442
10E BEDOK STH AVE 2,1.32166,103.9371924
115 BISHAN ST 12,1.3480033,103.8483915
195 BISHAN ST 13,1.3483366,103.8509053
313 SHUNFU RD,1.3513189,103.8380265
150A BISHAN ST 11,1.3447044,103.8554121
151 BISHAN ST 11,1.3451427,103.8555932
112 BISHAN ST 12,1.3468279,103.8488528
112 BISHAN ST 12,1.3468279,103.8488528
127 BISHAN ST 12,1.3460807,103.8516526
144 BISHAN ST 12,1.3459243,103.8533738
141 BISHAN ST 12,1.3451189,103.8533738
122 BISHAN ST 12,1.3468208,103.850664
115 BISHAN ST 12,1.3480033,103.8483915
195 BISHAN ST 13,1.3483366,103.8509053
253 BISHAN ST 22,1.3622419,103.8431376
236 BISHAN ST 22,1.3590695,103.8470327
235 BISHAN ST 22,1.3586332,103.8464892
285 BISHAN ST 22,1.3588751,103.8441672
226 BISHAN ST 23,1.3585004,103.8472818
214 BISHAN ST 23,1.357525,103.8483894
273A BISHAN ST 24,1.3563043,103.8439529
103 BISHAN ST 12,1.3455143,103.8483009
124 BISHAN ST 12,1.3463772,103.8510185
101 BISHAN ST 12,1.3449091,103.8485047
155 BISHAN ST 13,1.3462762,103.8558197
165 BISHAN ST 13,1.3489459,103.856318
155 BISHAN ST 13,1.3462762,103.8558197
166 BISHAN ST 13,1.3488421,103.8552762
226 BISHAN ST 23,1.3585004,103.8472818
214 BISHAN ST 23,1.357525,103.8483894
291 BISHAN ST 24,1.3560973,103.8451583
273A BISHAN ST 24,1.3563043,103.8439529
443 SIN MING AVE,1.3587003,103.8327266
450 SIN MING AVE,1.358416,103.8303888
444 SIN MING AVE,1.3585944,103.832316
134 BISHAN ST 12,1.3454191,103.8521055
187 BISHAN ST 13,1.3495227,103.851562
187 BISHAN ST 13,1.3495227,103.851562
261 BISHAN ST 22,1.358972,103.8433847
238 BISHAN ST 22,1.3598652,103.8443763
212 BISHAN ST 23,1.3565735,103.8480291
275 BT BATOK EAST AVE 4,1.3481705,103.7581725
272 BT BATOK EAST AVE 4,1.3488264,103.7578393
235 BT BATOK EAST AVE 5,1.3485615,103.756142
239 BT BATOK EAST AVE 5,1.3503071,103.7551238
152 BT BATOK ST 11,1.3487514,103.7442582
212 BT BATOK ST 21,1.3471745,103.7521361
333 BT BATOK ST 32,1.3641186,103.7476073
318 BT BATOK ST 32,1.3609702,103.7471547
324 BT BATOK ST 33,1.3622112,103.7479694
528 BT BATOK ST 51,1.3566967,103.7512281
533 BT BATOK ST 51,1.3558992,103.7497798
503 BT BATOK ST 52,1.3515578,103.7539472
523 BT BATOK ST 52,1.3566894,103.7524954
539 BT BATOK ST 52,1.3547939,103.750866
539 BT BATOK ST 52,1.3547939,103.750866
131 BT BATOK WEST AVE 6,1.3507978,103.746253
135 BT BATOK WEST AVE 6,1.3512457,103.7448048
178 BT BATOK WEST AVE 8,1.3460577,103.7425409
177 BT BATOK WEST AVE 8,1.346356,103.7416359
258 BT BATOK EAST AVE 4,1.3513108,103.758926
268 BT BATOK EAST AVE 4,1.3493318,103.7591068
239 BT BATOK EAST AVE 5,1.3503071,103.7551238
161 BT BATOK ST 11,1.3484775,103.7420888
219 BT BATOK ST 21,1.3472311,103.7550328
210 BT BATOK ST 21,1.345503,103.7498727
288C BT BATOK ST 25,1.3461054,103.7597399
289E BT BATOK ST 25,1.344131,103.7591961
369 BT BATOK ST 31,1.3599955,103.7509565
370 BT BATOK ST 31,1.3600039,103.7495082
305 BT BATOK ST 31,1.3578147,103.7479694
358 BT BATOK ST 31,1.3614621,103.7507755
336 BT BATOK ST 32,1.36492,103.748422
331 BT BATOK ST 33,1.3636062,103.7475168
343 BT BATOK ST 34,1.3624242,103.7491461
420 BT BATOK WEST AVE 2,1.3625169,103.745797
420 BT BATOK WEST AVE 2,1.3625169,103.745797
384 BT BATOK WEST AVE 5,1.3628829,103.7521786
118 BT BATOK WEST AVE 6,1.350285,103.7462529
108 BT BATOK WEST AVE 6,1.347426,103.7466144
114 BT BATOK WEST AVE 6,1.3488214,103.7459811
137 BT BATOK WEST AVE 6,1.3505121,103.7449857
193 BT BATOK WEST AVE 6,1.3460284,103.7444644
180 BT BATOK WEST AVE 8,1.3456092,103.742742
179 BT BATOK WEST AVE 8,1.3457669,103.7421789
175 BT BATOK WEST AVE 8,1.3456957,103.7418168
625 BT BATOK CTRL,1.3512218,103.7487876
216 BT BATOK ST 21,1.3471667,103.7534939
202 BT BATOK ST 21,1.3463897,103.7485152
288G BT BATOK ST 25,1.3451175,103.7596038
325 BT BATOK ST 33,1.3625813,103.7473358
392 BT BATOK WEST AVE 5,1.3658965,103.7533232
393 BT BATOK WEST AVE 5,1.366553,103.7532793
388 BT BATOK WEST AVE 5,1.3648491,103.7520816
390 BT BATOK WEST AVE 5,1.3653291,103.7524912
110 BT BATOK WEST AVE 6,1.3475772,103.7457999
172 BT BATOK WEST AVE 8,1.345702,103.7407306
122 BT BATOK CTRL,1.351953,103.7470673
223 BT BATOK EAST AVE 3,1.3481947,103.7530415
141 BT BATOK ST 11,1.3503017,103.7433564
141 BT BATOK ST 11,1.3503017,103.7433564
140 BT BATOK ST 11,1.3507386,103.743809
141 BT BATOK ST 11,1.3503017,103.7433564
289B BT BATOK ST 25,1.3439767,103.760554
2 JLN BT HO SWEE,1.2873461,103.831838
28 JLN BT MERAH,1.286411,103.8098657
127C KIM TIAN RD,1.281516,103.830022
10A BOON TIONG RD,1.2863928,103.8299909
10B BOON TIONG RD,1.286319,103.8291434
22 HAVELOCK RD,1.288746,103.8288242
52 HAVELOCK RD,1.2893563,103.8286453
105 HENDERSON CRES,1.2901396,103.8225544
131 JLN BT MERAH,1.2801336,103.8283184
28 JLN KLINIK,1.2879695,103.8281924
28 JLN KLINIK,1.2879695,103.8281924
30 JLN KLINIK,1.287684,103.8282883
26A JLN MEMBINA,1.283066,103.826076
26C JLN MEMBINA,1.282443,103.8255118
127A KIM TIAN RD,1.281999,103.8297426
127C KIM TIAN RD,1.281516,103.830022
127A KIM TIAN RD,1.281999,103.8297426
148 SILAT AVE,1.2769877,103.8309096
46 TELOK BLANGAH DR,1.2717906,103.8098756
62 TELOK BLANGAH HTS,1.2753474,103.8111688
42 TELOK BLANGAH RISE,1.2709676,103.8227058
42 TELOK BLANGAH RISE,1.2709676,103.8227058
80C TELOK BLANGAH ST 31,1.2734894,103.8072667
80B TELOK BLANGAH ST 31,1.2740923,103.8074939
33 TELOK BLANGAH WAY,1.2742268,103.8224586
18 TIONG BAHRU RD,1.2858021,103.8326092
20 TIONG BAHRU RD,1.28583,103.8321092
20 TIONG BAHRU RD,1.28583,103.8321092
10A BOON TIONG RD,1.2863928,103.8299909
10A BOON TIONG RD,1.2863928,103.8299909
6B BOON TIONG RD,1.2866383,103.8309096
17 CANTONMENT CL,1.2738137,103.8398541
4 DELTA AVE,1.2918286,103.8265458
52 HAVELOCK RD,1.2893563,103.8286453
12 JLN BT MERAH,1.2874551,103.8070691
118A JLN MEMBINA,1.2815308,103.8256791
118D JLN MEMBINA,1.2826578,103.8268112
27A JLN MEMBINA,1.2822539,103.8246208
118A JLN MEMBINA,1.2815308,103.8256791
127C KIM TIAN RD,1.281516,103.830022
63A LENGKOK BAHRU,1.2897957,103.8153318
70 REDHILL CL,1.2869521,103.8170676
75A REDHILL RD,1.2880406,103.8153318
76A REDHILL RD,1.288727,103.8168261
50 TELOK BLANGAH DR,1.2730871,103.8100803
56 TELOK BLANGAH HTS,1.2742378,103.8124338
9A BOON TIONG RD,1.2869556,103.8286125
115 BT PURMEI RD,1.2754806,103.8269273
13 CANTONMENT CL,1.2746874,103.8404881
104A DEPOT RD,1.2804556,103.8123177
118B JLN MEMBINA,1.2820389,103.8260912
121 KIM TIAN PL,1.2827761,103.8285547
120A KIM TIAN PL,1.2832919,103.8278301
121 KIM TIAN PL,1.2827761,103.8285547
119B KIM TIAN RD,1.2811332,103.8274694
48 LENGKOK BAHRU,1.2873284,103.810896
68 REDHILL CL,1.2868666,103.8160563
87 REDHILL CL,1.2867371,103.8196336
48 TELOK BLANGAH DR,1.2723476,103.810532
88 TELOK BLANGAH HTS,1.2774773,103.808268
37 TELOK BLANGAH RISE,1.2727975,103.8229402
547C SEGAR RD,1.388585,103.7688044
488 SEGAR RD,1.3894877,103.7712567
250 BANGKIT RD,1.3806756,103.7738601
454 FAJAR RD,1.3846123,103.7713704
454 FAJAR RD,1.3846123,103.7713704
229 PENDING RD,1.3753386,103.7715062
118 PENDING RD,1.3768954,103.7685186
128 PENDING RD,1.3760827,103.769605
137 PETIR RD,1.3750576,103.7694239
547D SEGAR RD,1.3888587,103.7690346
547C SEGAR RD,1.388585,103.7688044
485 SEGAR RD,1.3886813,103.7713126
547D SEGAR RD,1.3888587,103.7690346
548B SEGAR RD,1.3894207,103.7685737
548B SEGAR RD,1.3894207,103.7685737
548B SEGAR RD,1.3894207,103.7685737
272 BANGKIT RD,1.3775688,103.7745511
257 BANGKIT RD,1.3785541,103.7731358
249 BANGKIT RD,1.3810411,103.7740412
541 BT PANJANG RING RD,1.3825885,103.763381
235 BT PANJANG RING RD,1.3784741,103.7711667
435 BT PANJANG RING RD,1.3859742,103.7704198
447 BT PANJANG RING RD,1.3834013,103.7715967
404 FAJAR RD,1.3809345,103.7672512
441 FAJAR RD,1.3834078,103.7705103
439 FAJAR RD,1.3830599,103.7704424
166 GANGSA RD,1.3776291,103.7652821
504 JELAPANG RD,1.3846114,103.7670046
510 JELAPANG RD,1.3875027,103.7692202
530 JELAPANG RD,1.3849971,103.7651916
538 JELAPANG RD,1.3837412,103.7637205
501 JELAPANG RD,1.3834286,103.7669796
538 JELAPANG RD,1.3837412,103.7637205
176 LOMPANG RD,1.3793298,103.7658932
177 LOMPANG RD,1.3805054,103.7654405
177 LOMPANG RD,1.3805054,103.7654405
178 LOMPANG RD,1.3802897,103.7647163
136 PETIR RD,1.3744755,103.7686997
217 PETIR RD,1.3747571,103.7737922
205 PETIR RD,1.373364,103.7738827
167 PETIR RD,1.3774298,103.7648974
168 PETIR RD,1.3777257,103.7644447
207 PETIR RD,1.3736882,103.7748334
412 SAUJANA RD,1.3830364,103.7682244
412 SAUJANA RD,1.3830364,103.7682244
486 SEGAR RD,1.3889813,103.7717511
461 SEGAR RD,1.3871652,103.7711477
549A SEGAR RD,1.389694,103.7683858
481 SEGAR RD,1.3894565,103.7722259
459 SEGAR RD,1.3876116,103.7717174
458 SEGAR RD,1.3880439,103.7710676
486 SEGAR RD,1.3889813,103.7717511
460 SEGAR RD,1.3872515,103.7720835
465 SEGAR RD,1.3872276,103.7727901
487 SEGAR RD,1.3892819,103.7711536
459 SEGAR RD,1.3876116,103.7717174
455 SEGAR RD,1.3873587,103.7709348
548B SEGAR RD,1.3894207,103.7685737
471 SEGAR RD,1.3882916,103.7728948
461 SEGAR RD,1.3871652,103.7711477
471 SEGAR RD,1.3882916,103.7728948
461 SEGAR RD,1.3871652,103.7711477
481 SEGAR RD,1.3894565,103.7722259
635B SENJA RD,1.3867852,103.7572931
635B SENJA RD,1.3867852,103.7572931
605 SENJA RD,1.38082,103.7618194
635B SENJA RD,1.3867852,103.7572931
636B SENJA RD,1.3874224,103.7584579
636B SENJA RD,1.3874224,103.7584579
635B SENJA RD,1.3867852,103.7572931
635B SENJA RD,1.3867852,103.7572931
636B SENJA RD,1.3874224,103.7584579
636B SENJA RD,1.3874224,103.7584579
636B SENJA RD,1.3874224,103.7584579
605 SENJA RD,1.38082,103.7618194
629 SENJA RD,1.3865534,103.7592846
636B SENJA RD,1.3874224,103.7584579
450 BT PANJANG RING RD,1.3845695,103.7724115
430 BT PANJANG RING RD,1.3867807,103.7704198
537 BT PANJANG RING RD,1.3838364,103.7631094
183 JELEBU RD,1.3799312,103.7633584
549A SEGAR RD,1.389694,103.7683858
549A SEGAR RD,1.389694,103.7683858
549A SEGAR RD,1.389694,103.7683858
550B SEGAR RD,1.3899428,103.7672645
549A SEGAR RD,1.389694,103.7683858
635A SENJA RD,1.3867852,103.7572931
635A SENJA RD,1.3867852,103.7572931
635A SENJA RD,1.3867852,103.7572931
635B SENJA RD,1.3867852,103.7572931
635A SENJA RD,1.3867852,103.7572931
635A SENJA RD,1.3867852,103.7572931
624 SENJA RD,1.3861724,103.7617289
273 BANGKIT RD,1.3775847,103.775279
254 BANGKIT RD,1.3796314,103.7737922
451 FAJAR RD,1.3850837,103.7722305
408 FAJAR RD,1.3818057,103.7686997
228 PENDING RD,1.3754878,103.7710535
144 PETIR RD,1.3757274,103.7677038
467 SEGAR RD,1.3869824,103.7737885
483 SEGAR RD,1.3887973,103.772126
473 SEGAR RD,1.3882373,103.772144
652 SENJA LINK,1.3873342,103.76363
3 QUEEN'S RD,1.3228663,103.8116414
3 QUEEN'S RD,1.3228663,103.8116414
9 TOH YI DR,1.338329,103.7735885
5 FARRER RD,1.3165599,103.8072881
668 CHANDER RD,1.307587,103.8513808
269B QUEEN ST,1.3001505,103.8538113
4 SAGO LANE,1.2817753,103.8429707
538 UPP CROSS ST,1.285205,103.845761
633 VEERASAMY RD,1.3058366,103.8549056
1B CANTONMENT RD,1.27799,103.84122
639 ROWELL RD,1.3077866,103.8551865
535 CHOA CHU KANG ST 51,1.3916098,103.744104
166A TECK WHYE CRES,1.3833976,103.7530185
166B TECK WHYE CRES,1.383088,103.7534857
476A CHOA CHU KANG AVE 5,1.3765471,103.7380516
111 TECK WHYE LANE,1.3778715,103.7521333
106 TECK WHYE LANE,1.3779405,103.7528575
294 CHOA CHU KANG AVE 2,1.3785973,103.7409092
294 CHOA CHU KANG AVE 2,1.3785973,103.7409092
294 CHOA CHU KANG AVE 2,1.3785973,103.7409092
279 CHOA CHU KANG AVE 3,1.3811476,103.7432125
405 CHOA CHU KANG AVE 3,1.3801448,103.7395515
286 CHOA CHU KANG AVE 3,1.3800582,103.7418143
423 CHOA CHU KANG AVE 4,1.3820462,103.7403661
415 CHOA CHU KANG AVE 4,1.3827671,103.7424479
440 CHOA CHU KANG AVE 4,1.383778,103.739234
456 CHOA CHU KANG AVE 4,1.3789422,103.7352296
442 CHOA CHU KANG AVE 4,1.380963,103.7375602
443 CHOA CHU KANG AVE 4,1.3813317,103.7371982
455 CHOA CHU KANG AVE 4,1.3793639,103.7352069
476A CHOA CHU KANG AVE 5,1.3765471,103.7380516
484D CHOA CHU KANG AVE 5,1.375172,103.7374697
484D CHOA CHU KANG AVE 5,1.375172,103.7374697
691A CHOA CHU KANG CRES,1.4012113,103.7515223
670A CHOA CHU KANG CRES,1.402631,103.747472
685C CHOA CHU KANG CRES,1.4034466,103.748627
685C CHOA CHU KANG CRES,1.4034466,103.748627
679 CHOA CHU KANG CRES,1.4026274,103.7447108
673 CHOA CHU KANG CRES,1.4013604,103.7480599
205 CHOA CHU KANG CTRL,1.3809712,103.748603
211 CHOA CHU KANG CTRL,1.382017,103.747952
230 CHOA CHU KANG CTRL,1.3803435,103.7462722
689B CHOA CHU KANG DR,1.4030553,103.7498024
516 CHOA CHU KANG ST 51,1.3905346,103.7432625
573 CHOA CHU KANG ST 52,1.3944461,103.7450579
704 CHOA CHU KANG ST 53,1.390991,103.745611
4 TECK WHYE AVE,1.3818992,103.7528575
102 TECK WHYE LANE,1.3769801,103.7541248
121 TECK WHYE LANE,1.3783972,103.7501171
112 TECK WHYE LANE,1.3775065,103.7518617
103 TECK WHYE LANE,1.3771851,103.7535092
117 TECK WHYE LANE,1.3796362,103.7512281
11 TECK WHYE LANE,1.3797615,103.754849
249 CHOA CHU KANG AVE 2,1.3795959,103.7456159
249 CHOA CHU KANG AVE 2,1.3795959,103.7456159
447 CHOA CHU KANG AVE 4,1.3806151,103.7374923
486 CHOA CHU KANG AVE 5,1.3754599,103.7383748
690D CHOA CHU KANG CRES,1.4021252,103.7520201
678 CHOA CHU KANG CRES,1.4018221,103.7444392
690D CHOA CHU KANG CRES,1.4021252,103.7520201
683A CHOA CHU KANG CRES,1.4037962,103.7455254
672 CHOA CHU KANG CRES,1.4021705,103.7475168
690C CHOA CHU KANG CRES,1.4026579,103.7518617
234 CHOA CHU KANG CTRL,1.3802408,103.7481504
206 CHOA CHU KANG CTRL,1.3806796,103.7483315
687D CHOA CHU KANG DR,1.4037832,103.7516142
344 CHOA CHU KANG LOOP,1.3832822,103.7452313
763 CHOA CHU KANG NTH 5,1.3929685,103.7483234
617 CHOA CHU KANG NTH 7,1.400491,103.7462496
518 CHOA CHU KANG ST 51,1.3908333,103.7423574
511 CHOA CHU KANG ST 51,1.3895225,103.7408187
508 CHOA CHU KANG ST 51,1.3887547,103.7414865
513 CHOA CHU KANG ST 51,1.3897874,103.7425158
613 CHOA CHU KANG ST 62,1.4006486,103.7444392
626 CHOA CHU KANG ST 62,1.3983667,103.745797
611 CHOA CHU KANG ST 62,1.3999194,103.7437151
614 CHOA CHU KANG ST 62,1.4010185,103.7438961
155 JLN TECK WHYE,1.3788684,103.757112
12 TECK WHYE LANE,1.3795367,103.7556637
14 TECK WHYE LANE,1.3785104,103.7556637
16 TECK WHYE LANE,1.3787335,103.7551205
204 CHOA CHU KANG AVE 1,1.3805282,103.7491461
287 CHOA CHU KANG AVE 2,1.3793266,103.7415428
297A CHOA CHU KANG AVE 2,1.3771787,103.742543
